Russian,English
убийство,murder
ложь,lie
мечта,dream
поимка,catch
сладость,sweet
смысл,sense
ставка,bet
голос,voice
знак,sign
тишина,quiet
чувство,felt
победа,beat
возвращение,return
кофе,coffee
свидание,date
тяжело,pull
секрет,secret
вина,fault
падение,fall
песня,song
спокойствие,calm
дорога,road
капля,drop
будущее,future
бросок,throw
шаг,step
кусок,piece
картина,picture
земля,land
удивление,wonder
стоимость,worth
президент,president
глаз,eye
парень,dude
состояние,state
фигура,figure
акт,act
закон,law
поцелуй,kiss
работы,works
отчет,report
боль,pain
проход,pass
пробуждение,wake
генерал,general
корабль,ship
выбор,choice
класс,class
офицер,officer
ошибка,mistake
начальник,chief
возраст,age
рот,mouth
финиш,finish
одежда,clothes
поездка,ride
день рождения,birthday
темнота,dark
система,system
фильм,film
суд,court
фильм,movie
месяц,month
ношение,wear
поезд,train
отель,hotel
улика,evidence
безопасность,security
информация,information
сумка,bag
атака,attack
раунд,round
синий,blue
станция,station
стол,table
сообщение,message
история,history
дурак,fool
приятель,buddy
пол,floor
солнце,sun
ручка,handle
армия,army
брак,marriage
письмо,letter
внимание,attention
мир,peace
ситуация,situation
середина,middle
скала,rock
тест,test
свинец,lead
клуб,club
страх,fear
настоящее,present
идиот,idiot
коробка,box
мяч,ball
группа,group
лодка,boat
счет,count
ублюдок,bastard
преступление,crime
ключ,key
сила,force
лошадь,horse
обед,lunch
американец,american
бумага,paper
обвинение,charge
сюрприз,surprise
пространство,space
падение,fell
честь,honor
авария,accident
рыба,fish
бар,bar
земля,ground
правительство,government
банк,bank
обложка,cover
майор,major
прятки,hide
палка,stick
море,sea
чай,tea
район,area
платье,dress
сервис,service
поездка,trip
радио,radio
удар,blow
звезда,star
запись,record
предложение,offer
тюрьма,prison
душа,soul
список,list
золото,gold
послеобед,afternoon
агент,agent
детектив,detective
ремонт,fix
уважение,respect
публика,public
подруга,girlfriend
пьяница,drunk
мозг,brain
клетка,cell
беспорядок,mess
запах,smell
муха,fly
убийца,killer
сцена,scene
карточка,card
английский,english
церковь,church
лед,ice
окно,window
доля,share
смех,laugh
лейтенант,lieutenant
плач,cry
мама,mum
визит,visit
место,seat
учитель,teacher
отношение,relationship
удовольствие,pleasure
камера,camera
колледж,college
судья,judge
позиция,position
дело,sake
парень,boyfriend
стена,wall
частное,private
остановка,stop
французский,french
искусство,art
машина,machine
зелень,green
полицейский,cop
вино,wine
квартира,apartment
деревня,village
поздравление,congratulations
тюремное заключение,jail
шутка,joke
зло,evil
адвокат,lawyer
поле,field
контакт,contact
магазин,store
лавка.shop,
профессор,professor
мадам,madam
сомнение,doubt
самолет,plane
наличные,cash
остров,island
кот,cat
решение,decision
пиво,beer
разница,difference
толчок,push
юг,south
подарок,gift
стакан,glass
дерево,tree
медведь,bear
север,north
автобус,bus
партнер,partner
хватка,grab
жертва,victim
компьютер,computer
грузовик,truck
досягаемость,reach
доска,board
жир,fat
планета,planet
поиск,search
ветер,wind
арест,arrest
прыжок,jump
поддержка,support
магия,magic
дерьмо,crap
кухня,kitchen
лето,summer
пациент,patient
тетя,aunt
опыт,experience
рай,heaven
река,river
стук,knock
побег,escape
адрес,address
ступня,foot
луна,moon
товарищ,mate
матч,match
финал,final
дым,smoke
вина,blame
пресса,press
улыбка,smile
тип,type
миссия,mission
одолжение,favor
действие,action
цена,price
охранник,guard
риск,risk
уведомление,notice
враг,enemy
удар,kick
гонка,race
костюм,suit
примерка,fit
директор,director
место,spot
крест,cross
рука,arm
верх,upstairs
курица,chicken
отдел,department
герой,hero
газ,gas
сержант,sergeant
низ,low
нога,leg
вкус,taste
отходы,waste
запад,west
связка,bunch
битва,battle
учеба,study
упоминание,mention
колокол,bell
сцена,stage
дыра,hole
замок,lock
оружие,weapon
энергия,energy
угощение,treat
форма,form
небо,sky
завтрак,breakfast
группа,band
трек,track
дух,spirit
нос,nose
любимый,favorite
память,memory
смех,laughter
рулон,roll
свидетель,witness
двойник,double
ванная,bathroom
строительство,build
бомба,bomb
давление,pressure
полет,flight
интерес,interest
горло,throat
стоимость,cost
опасность,danger
мудак,asshole
шея,neck
подозреваемый,suspect
бутылка,bottle
красота,beauty
природа,nature
видео,video
дождь,rain
лагерь,camp
стыд,shame
водитель,driver
птица,bird
толпа,crowd
уровень,level
вера,faith
командир,commander
клиент,client
двигатель,engine
животное,animal
дьявол,devil
выходные,weekend
камень,stone
возлюбленная,sweetheart
кожа,skin
нож,knife
наркотик,drug
слепой,blind
немецкий,german
пляж,beach
шапка,hat
местный,local
код,code
зал,hall
возможность,opportunity
чушь,bullshit
угол,corner
чашка,cup
справедливость,justice
дно,bottom
привидение,ghost
ресторан,restaurant
язык,language
восток,east
товарищ,fellow
записка,note
лидер,leader
здоровье,health
ангел,angel
правило,rule
двоюродный брат/двоюродная сестра,cousin
совет,advice
прощение,pardon
молоко,milk
скорость,speed
файл,file
кассета,tape
практика,practice
чрезвычайное происшествие,emergency
мост,bridge
тренер,coach
инспектор,inspector
министр,minister
аплодисменты,applause
разговор,conversation
счет,account
дыхание,breath
экипаж,crew
мясо,meat
торт,cake
карьера,career
зрение,sight
голосование,vote
копия,copy
бред,nonsense
студент,student
судебный процесс,trial
свобода,freedom
рынок,market
менеджер,manager
размер,size
операция,operation
трюк,trick
милашка,sweetie
пакет,pack
чудовище,monster
центр,center
путешествие,travel
цель,target
наука,science
проект,project
кормление,feed
кредит,credit
самоубийство,suicide
расследование,investigation
медсестра,nurse
нефть,oil
преступник,criminal
солдат,soldier
рубашка,shirt
пример,example
забастовка,strike
стул,chair
вселенная,universe
команда,command
состояние,condition
вызов,challenge
билет,ticket
вид,view
программа,program
коричневый,brown
стирка,wash
общество,society
освобождение,release
рождение,birth
исследование,research
гость,guest
лифт,lift
мнение,opinion
характер,character
гора,mountain
жара,heat
галстук,tie
шериф,sheriff
цвет,color
меч,sword
лаборатория,lab
пуля,bullet
доказательство,proof
база,base
крем,cream
шум,noise
итог,total
банда,gang
счастье,happiness
радость,joy
женщина,female
чертеж,draw
мужчина,male
душ,shower
аудитория,audience
цель,purpose
судьба,fate
винт,screw
джентльмен,gentleman
медицина,medicine
ответственность,responsibility
беседа,talk
разделение,split
вес,weight
единица,unit
свинья,pig
письменный стол,desk
палец,finger
бассейн,pool
фокус,focus
сад,garden
собственность,property
мэр,mayor
вопрос,issue
приятель,pal
интервью,interview
вентилятор,fan
сигнал,signal
тишина,silence
хирургия,surgery
вред,harm
штат,staff
шеф-повар,chef
погода,weather
расстояние,distance
процесс,process
сезон,season
доступ,access
модель,model
тропа,path
русский,russian
член,member
стиль,style
сигнал тревоги,alarm
японский,japanese
сахар,sugar
крыша,roof
похороны,funeral
повреждение,damage
желудок,stomach
хлеб,bread
снег,snow
замок,castle
речь,speech
блок,block
встряска,shake
копание,dig
пост,post
реальность,reality
футбол,football
распространение,spread
пальто,coat
грудь,chest
успех,success
мадам,madame
безопасность,safety
разрешение,permission
увлечение,fancy
теория,theory
ворота,gate
путешествие,journey
краска,paint
возлюбленный(ая),lover
настроение,mood
шторм,storm
страница,page
сыр,cheese
священник,priest
сожаление,regret
договор,contract
вор,thief
развод,divorce
урок,lesson
сообщество,community
предмет,subject
аренда,rent
месть,revenge
торговля,trade
лес,forest
спешка,rush
владелец,owner
количество,amount
художник,artist
карман,pocket
рак,cancer
пара,pair
разрушение,ruin
дедушка,grandfather
велосипед,bike
потеря,loss
лгун,liar
зима,winter
помощник,assistant
убийца,murderer
язык,tongue
туалет,toilet
гений,genius
площадь,square
секретарь,secretary
связь,connection
нижний этаж,downstairs
спальня,bedroom
профессионал,professional
тур,tour
игрок,player
серебро,silver
жалость,pity
часы,clock
океан,ocean
ДНК,dna
крушение,crash
ванна,bath
удача,fortune
век,century
страхование,insurance
аэропорт,airport
храм,temple
знание,knowledge
карта,map
соревнование,competition
защита,defense
доброта,goodness
событие,event
период,period
форма,shape
ад,hell
телефон,telephone
запрос,request
грант,grant
дело,affair
могила,grave
гигант,giant
завод,plant
место,site
заявление,statement
подъем,rise
куртка,jacket
милосердие,mercy
шлюха,whore
переключатель,switch
еда,meal
направление,direction
данные,data
рог,horn
адвокат,attorney
чиновник,official
крыса,rat
пицца,pizza
шок,shock
суп,soup
мужество,courage
желтый,yellow
местоположение,location
придурок,jerk
шоколад,chocolate
образ,image
обычный,regular
такси,taxi
моча,piss
рана,wound
тарелка,plate
телевидение,television
чудак,freak
движение,traffic
рассвет,dawn
яд,poison
тайна,mystery
индийский,indian
хлопок,bang
болезнь,disease
итальянский,italian
роль,role
задница,butt
победа,victory
ловушка,trap
нация,nation
желание,desire
полночь,midnight
жюри,jury
встреча,appointment
плавание,swim
почта,mail
отпуск,vacation
источник,source
завод,factory
дворец,palace
трещина,crack
талант,talent
район,neighborhood
угроза,threat
ухо,ear
чудо,miracle
бабушка,grandmother
фирма,firm
победитель,winner
лицензия,license
преимущество,advantage
обезьяна,monkey
зеркало,mirror
дерево,wood
союз,union
христианин,christian
насилие,violence
защита,protection
крючок,hook
ублюдок,motherfucker
забота,concern
эффект,effect
студия,studio
нагрузка,load
сокровище,treasure
заклинание,spell
железо,iron
спасение,rescue
лечение,treatment
пустыня,desert
результат,result
пианино,piano
дружба,friendship
конфета,candy
невеста,bride
цветок,flower
кость,bone
ценность,value
младший,junior
остатки,remains
металл,metal
чаевые,tip
отпуск,holiday
ставка,rate
выступление,performance
губернатор,governor
транспортное средство,vehicle
тост,toast
гордость,pride
шампанское,champagne
незнакомец,stranger
форма,uniform
слеза,tear
такси,cab
присутствие,presence
крик,scream
пыль,dust
край,edge
ведьма,witch
средства массовой информации,media
претензия,claim
рис,rice
яйцо,egg
удар,punch
кастинг,cast
разведка,intelligence
корова,cow
поверхность,surface
сигарета,cigarette
судьба,destiny
счет,score
технология,technology
дракон,dragon
пилот,pilot
грех,sin
император,emperor
цель,goal
молодежь,youth
горшок,pot
волк,wolf
взрыв,boom
ряд,row
секция,section
свалка,dump
текст,text
заключённый,prisoner
ноль,zero
колесо,wheel
обмен,exchange
побережье,coast
оценка,grade
смена,shift
лекарство,cure
жертва,sacrifice
зверь,beast
пирог,pie
материал,material
существо,creature
след,trace
кнопка,button
тьма,darkness
скорая помощь,ambulance
интернет,internet
диапазон,range
эксперт,expert
заморозка,freeze
распродажа,sale
сок,juice
раствор,solution
башня,tower
масса,mass
пришелец,alien
расписание,schedule
лестница,stairs
фрукт,fruit
шпион,spy
старший,senior
гараж,garage
гнев,anger
подсказка,clue
журнал,magazine
зона,zone
плечо,shoulder
прогресс,progress
змея,snake
усилие,effort
лифт,elevator
предложение,sentence
оборудование,equipment
отношение,attitude
газета,newspaper
ордер,warrant
проигравший,loser
серия,series
зрение,vision
актёр,actor
проклятие,curse
тень,shadow
страсть,passion
маршрут,route
репортёр,reporter
взрыв,explosion
отряд,squad
королевство,kingdom
экран,screen
мода,fashion
волна,wave
подъём,climb
ручка,pen
инцидент,incident
бык,bull
цепь,chain
устройство,device
долг,debt
кампания,campaign
объятие,hug
алкоголь,alcohol
конференция,conference
образование,education
политика,politics
изнасилование,rape
мумия,mummy
граница,border
провод,wire
приз,prize
круг,circle
объект,object
ограбление,robbery
гром,thunder
веревка,rope
соль,salt
плоть,flesh
писатель,writer
мусор,trash
вознаграждение,reward
слава,glory
власть,authority
имущество,estate
двор,yard
танк,tank
уверенность,confidence
недостаток,lack
яблоко,apple
подход,approach
цыплёнок,chick
кукла,doll
утка,duck
акции,stock
библиотека,library
неудача,failure
движение,movement
лук,bow
хвост,tail
сенатор,senator
кошмар,nightmare
театр,theater
песок,sand
репутация,reputation
промах,slip
розовый,pink
горничная,maid
агентство,agency
детство,childhood
противоположность,opposite
политика,policy
паника,panic
дизайн,design
чат,chat
задача,task
болтовня,chatter
ремень,belt
гарантия,guarantee
течение,current
мусор,garbage
опека,custody
демон,demon
совпадение,coincidence
попытка,attempt
революция,revolution
соглашение,agreement
империя,empire
катастрофа,disaster
аванс,advance
гитара,guitar
деталь,detail
поведение,behavior
доставка,delivery
способность,ability
район,district
обувь,shoe
раб,slave
трус,coward
охотник,hunter
культура,culture
объяснение,explanation
комитет,committee
фон,background
личность,identity
канал,channel
связь,bound
вид,species
борьба,struggle
маска,mask
лихорадка,fever
займ,loan
свисток,whistle
наказание,punishment
производство,production
столица,capital
потенциал,potential
четверть,quarter
миска,bowl
музей,museum
одобрение,cheer
блюдо,dish
выстрел,gunshot
шкаф,closet
грязь,dirt
корона,crown
крик,shout
парень,fella
диван,couch
требование,demand
перевод,transfer
сочленение,joint
эпизод,episode
подвал,basement
римлянин,roman
статья,article
гид,guide
бутерброд,sandwich
вспышка,flash
бумажник,wallet
качество,quality
концерт,concert
певец,singer
полоса,lane
бейсбол,baseball
титул,title
комиссар,commissioner
пись,pee
благотворительность,charity
драма,drama
церемония,ceremony
пакет,package
блеск,shine
товарищ,comrade
киска,pussy
поставка,supply
тон,tone
покупатель,customer
пот,sweat
возможность,possibility
флаг,flag
пластик,plastic
шестеренка,gear
капитуляция,surrender
впечатление,impression
сам,self
арест,bust
слуга,servant
спортзал,gym
нападение,assault
след,trail
кризис,crisis
коллекция,collection
алмаз,diamond
взрослый,adult
библия,bible
лига,league
апельсин,orange
воображение,imagination
сосед,neighbor
взрыв,blast
баланс,balance
гольф,golf
поражение,defeat
тема,theme
комфорт,comfort
реакция,reaction
легенда,legend
трава,grass
печать,print
вирус,virus
запуск,launch
сирена,siren
вход,entrance
религия,religion
масло,butter
домашнее задание,homework
стресс,stress
кепка,cap
летучая мышь,bat
микс,mix
пытка,torture
палуба,deck
кролик,rabbit
опция,option
акцент,accent
налог,tax
разрыв,rip
почка,bud
терапия,therapy
всю жизнь,lifetime
увлечение,crush
чемпион,champion
череп,skull
версия,version
любовница,mistress
топливо,fuel
срок,term
облигация,bond
равнина,plain
эксперимент,experiment
монах,monk
лев,lion
парень,lad
упражнение,exercise
кошелек,purse
пещера,cave
стандарт,standard
тоннель,tunnel
сталь,steel
раздел,division
овца,sheep
классика,classic
племянник,nephew
соус,sauce
влияние,influence
сеть,network
конкурс,contest
кабина,cabin
джунгли,jungle
вампир,vampire
выход,exit
плевок,spit
поколение,generation
кристалл,crystal
статус,status
степень,degree
бакс,buck
бренд,brand
игрушка,toy
царапина,scratch
племя,tribe
сценарий,script
нерв,nerve
печать,seal
жук,bug
ответ,response
наблюдение,surveillance
прирост,gain
курок,trigger
клиника,clinic
терпение,patience
предатель,traitor
черт,heck
град,hail
порт,port
говядина,beef
рутина,routine
наряд,outfit
признание,confession
удобство,ease
заместитель,deputy
директор,principal
ставка,stake
связь,link
индустрия,industry
костюм,costume
аргумент,argument
движение,motion
строительство,construction
цель,aim
узор,pattern
гвоздь,nail
электричество,electricity
воин,warrior
фея,fairy
юбилей,anniversary
температура,temperature
будка,booth
питомец,pet
спорт,sport
залог,bail
прерывание,interrupt
мелодия,tune
молитва,prayer
совесть,conscience
штаб-квартира,headquarters
петух,cock
чип,chip
вина,guilt
озноб,chill
мышь,mouse
дилер,dealer
резервная копия,backup
рай,paradise
епископ,bishop
багажник,trunk
традиция,tradition
салат,salad
комплекс,complex
среднее,average
утес,cliff
грек,greek
имя,behalf
панк,punk
полоса,strip
труба,pipe
образец,sample
прачечная,laundry
окружение,environment
клетка,cage
робот,robot
привычка,habit
обертка,wrap
живот,belly
выгода,benefit
раковина,sink
сигнал,beep
мотив,motive
цирк,circus
территория,territory
яма,pit
извинение,apology
экзамен,exam
фестиваль,festival
актриса,actress
палата,ward
деятельность,activity
работник,worker
полицейский,policeman
убежище,shelter
существование,existence
атмосфера,atmosphere
продукт,product
междувременье,meantime
предел,limit
выборы,election
нижнее белье,underwear
пульс,pulse
прощание,farewell
шлепок,slap
крик,yell
звонок,doorbell
приключение,adventure
паспорт,passport
молоток,hammer
капот,hood
приговор,judgment
убийство,homicide
патруль,patrol
поток,flow
забор,fence
полдень,noon
случай,occasion
личность,personality
фантазия,fantasy
продукция,produce
шансы,odds
подпись,signature
индивидуальность,individual
очарование,charm
председатель,chairman
рамка,frame
облегчение,relief
облако,cloud
тело,corpse
организация,organization
хозяин,host
транспорт,transport
кислород,oxygen
гражданин,citizen
воздействие,impact
преступление,offense
производитель,producer
комплект,kit
объявление,ad
сопровождение,escort
террорист,terrorist
глина,clay
трагедия,tragedy
математика,math
сарай,shed
процедура,procedure
монитор,monitor
вращение,spin
клоун,clown
ожерелье,necklace
грязь,mud
профиль,profile
угол,angle
мебель,furniture
помолвка,engagement
идиот,moron
акула,shark
человечество,humanity
отбивная,chop
щелчок,snap
продажи,sales
конюшня,stable
бабушка,granny
шест,pole
танцор,dancer
кадры,footage
увеличение,increase
растяжка,stretch
роман,romance
вертолёт,helicopter
подача,pitch
пример,instance
лимон,lemon
головная боль,headache
мусор,rubbish
сессия,session
булавка,pin
камера,chamber
реклама,commercial
печень,liver
пенис,penis
инженер,engineer
ужин,supper
спиртное,liquor
дрель,drill
аллея,alley
прыжок,hop
разрушение,destruction
хлам,junk
ракета,rocket
старейшина,elder
опера,opera
шоссе,highway
боец,fighter
раковина,shell
альфа,alpha
свобода,liberty
хирург,surgeon
бездомный,bum
вдова,widow
священник,reverend
оскорбление,insult
комментарий,comment
мыло,soap
укол,prick
весы,scale
печаль,grief
колено,knee
шлюха,slut
альбом,album
обвиняемый,defendant
богиня,goddess
изгиб,bend
макияж,makeup
верность,loyalty
порошок,powder
ген,gene
диета,diet
родитель,parent
джем,jam
зарплата,salary
латынь,latin
население,population
посол,ambassador
шкафчик,locker
похвала,praise
травма,trauma
берег,shore
богатство,wealth
медовый месяц,honeymoon
лезвие,blade
виски,whiskey
ядро,core
помощь,aid
палатка,tent
блондинка,blonde
злоупотребление,abuse
поэзия,poetry
реактивный самолет,jet
сопротивление,resistance
борода,beard
стратегия,strategy
козел,goat
награда,award
кукуруза,corn
профессионал,pro
сеть,net
татуировка,tattoo
роман,novel
хаос,chaos
коллега,colleague
ученый,scientist
сказка,tale
склад,warehouse
слон,elephant
заложник,hostage
ветвь,branch
возражение,objection
колени,lap
владение,possession
кран,tap
начальство,superior
подбородок,chin
газировка,soda
комиссия,commission
кинотеатр,cinema
мышца,muscle
стих,poem
апелляция,appeal
бифштекс,steak
выживание,survival
прибыль,profit
символ,symbol
безумие,madness
развитие,development
парус,sail
зуб,tooth
обзор,review
баскетбол,basketball
управление,management
трубка,tube
винтовка,rifle
бревно,log
пчела,bee
сжатие,squeeze
манера,manner
вход,entry
кабель,cable
сковорода,pan
коренной житель,native
официант,waiter
кирпич,brick
свинина,pork
куча,pile
выражение,expression
клан,clan
учреждение,facility
прием,reception
статуя,statue
спутник,satellite
полировка,polish
фунт,pound
связь,communication
холодильник,fridge
фундамент,foundation
внешность,appearance
предложение,proposal
бой,combat
горка,slide
задержка,delay
труд,labor
бремя,burden
платёж,payment
торговый центр,mall
документооборот,paperwork
ягнёнок,lamb
предмет,item
показания,testimony
бедро,hip
выпускной вечер,prom
заплатка,patch
задание,assignment
мотель,motel
мошенничество,fraud
десерт,dessert
травма,injury
поединок,bout
мешок,sack
почва,soil
значок,badge
мотор,motor
описание,description
батарея,battery
жалоба,complaint
ковбой,cowboy
конфиденциальность,privacy
мудрость,wisdom
противоположность,contrary
кран,crane
утечка,leak
таблетка,pill
чемодан,suitcase
водка,vodka
химикат,chemical
католик,catholic
футбол,soccer
щётка,brush
болезнь,illness
кувырок,flip
поворот,twist
глава,chapter
мера,measure
радар,radar
редактор,editor
структура,structure
маршал,marshal
предложение,bid
ладонь,palm
паб,pub
анализ,analysis
трон,throne
амбар,barn
ярость,rage
флот,fleet
бюджет,budget
юмор,humor
сотрудник,employee
лекарство,medication
спиртное,booze
сестрёнка,sis
черепаха,turtle
орех,nut
основание,basis
дискуссия,discussion
характер,temper
заговор,plot
казино,casino
покер,poker
фермер,farmer
прилавок,counter
ублюдок,fucker
ремонт,repair
печенье,cookie
пекарь,baker
массаж,massage
развлечение,entertainment
ведро,bucket
кнут,whip
прощение,forgiveness
паук,spider
фаза,phase
дневник,diary
одеяло,blanket
комедия,comedy
высота,height
погружение,dive
теннис,tennis
солнечный свет,sunshine
дурь,dope
разрешение,permit
джаз,jazz
ласточка,swallow
полотенце,towel
функция,function
кролик,bunny
племянница,niece
прокурор,prosecutor
фонд,fund
насос,pump
регион,region
слабость,weakness
открытие,discovery
игла,needle
руководитель,executive
остановка,halt
гнездо,nest
гравитация,gravity
повозка,wagon
обман,con
взрыв,burst
сорняк,weed
понятие,concept
сосуд,vessel
зоопарк,zoo
зловоние,stink
кожа,leather
мексиканец,mexican
простыня,sheet
ботинок,boot
реверс,reverse
внук,grandson
щит,shield
поведение,conduct
багаж,luggage
продвижение,promotion
меню,menu
бекон,bacon
метод,method
парад,parade
картофель,potato
ярлык,tag
радиация,radiation
техника,technique
украшение,jewelry
няня,nanny
телега,cart
салфетка,tissue
стрелок,shooter
прибытие,arrival
корень,root
галактика,galaxy
сплетня,gossip
умение,skill
заговор,conspiracy
жених,groom
вишня,cherry
голод,hunger
идеал,ideal
тесто,dough
террор,terror
ветчина,ham
приоритет,priority
человечество,mankind
клик,click
европеец,european
подушка,pillow
сканирование,scan
репетиция,rehearsal
поэт,poet
празднование,celebration
скот,cattle
выдвижной ящик,drawer
зажигалка,lighter
регистр,register
комикс,comic
лампа,lamp
удар,stab
достоинство,dignity
крушение,wreck
родственник,relative
кома,coma
капрал,corporal
корзина,basket
ужас,horror
клятва,oath
пар,steam
сольное выступление,solo
кладбище,cemetery
ушиб,bump
персонал,personnel
отброс,scum
толпа,mob
комбинация,combination
луч,beam
союз,alliance
советник,counselor
вздремнуть,nap
конфликт,conflict
помощь,assistance
отступление,retreat
кандидат,candidate
резина,rubber
бинго,bingo
вскрытие,autopsy
ковёр,carpet
щенок,puppy
кишка,gut
гроб,coffin
мгновение,instant
пепел,ash
скандал,scandal
союзник,ally
стрела,arrow
страдание,misery
хлопок,cotton
люкс,suite
лекция,lecture
экономика,economy
пристальный взгляд,stare
опекун,guardian
выступление,gig
инвестиция,investment
героин,heroin
депозит,deposit
медаль,medal
жвачка,gum
опухоль,swell
обязательство,commitment
избушка,hut
задняя часть,rear
фотограф,photographer
волнение,excitement
ранчо,ranch
плата,fee
инструмент,tool
профессия,profession
документ,document
журналист,journalist
приманка,bait
грудь,breast
печаль,sorrow
сожитель,roommate
совет,counsel
пушка,cannon
штраф,penalty
объявление,announcement
кокаин,cocaine
объятие,embrace
шип,spike
шёлк,silk
кража,theft
посетитель,visitor
кислота,acid
суета,fuss
сделка,bargain
пир,feast
воротник,collar
зависть,envy
пламя,flame
слава,fame
духи,perfume
протест,protest
психопат,psycho
эмоция,emotion
витрина,display
содержание,content
перец,pepper
юбка,skirt
круиз,cruise
посольство,embassy
шрам,scar
ритм,rhythm
миф,myth
толчок,shove
сертификат,certificate
барабан,drum
инфекция,infection
виски,scotch
лягушка,frog
шахматы,chess
вера,belief
шкаф,cabinet
слух,rumor
лёгкое,lung
рэп,rap
ошибка,error
дебаты,debate
подметание,sweep
эпоха,era
сейф,vault
жидкость,liquid
самолёт,aircraft
огнестрельный залп,gunfire
парень,chap
жарка,fry
груз,cargo
кулак,fist
придурок,sucker
духовка,oven
ненависть,hatred
скамейка,bench
конверт,envelope
доброта,kindness
шлем,helmet
близнец,twin
матрос,sailor
лестница,ladder
бочка,barrel
народ,folk
банан,banana
альтернатива,alternative
дизайнер,designer
циферблат,dial
напряжение,tension
рейд,raid
разведчик,scout
олень,deer
захват,grip
олово,tin
управляющий,warden
цитата,quote
метро,subway
хранение,storage
прицеп,trailer
оператор,operator
предприятие,enterprise
цикл,cycle
важность,importance
гусь,goose
бас,bass
волонтер,volunteer
резиденция,residence
губа,lip
галерея,gallery
мотоцикл,motorcycle
поклонение,worship
выпускник,graduate
конгресс,congress
казнь,execution
ритуал,ritual
кит,whale
заявление,application
ванна,tub
пистолет,pistol
кампус,campus
заключение,conclusion
негодяй,rascal
свеча,candle
принцип,principle
мясник,butcher
свитер,sweater
ранг,rank
пикник,picnic
восстановление,recovery
ползанье,crawl
вилла,villa
бренди,brandy
аппетит,appetite
лесбиянка,lesbian
пастух,shepherd
перспектива,perspective
хоккей,hockey
ползун,creep
дисциплина,discipline
лизание,lick
уголь,coal
гробница,tomb
тишина,hush
манекен,dummy
предложение,suggestion
добавление,addition
терапевт,therapist
условно-досрочное освобождение,parole
кафе,cafe
волшебник,wizard
сознание,consciousness
сектор,sector
закат,sunset
творение,creation
переход,passage
комплимент,compliment
вещание,broadcast
жертва,prey
головоломка,puzzle
расположение,arrangement
вторжение,invasion
вечность,eternity
чума,plague
философия,philosophy
проститутка,prostitute
инстинкт,instinct
привязанность,affection
нацист,nazi
министерство,ministry
роскошь,luxury
бриз,breeze
колбаса,sausage
физика,physics
пират,pirate
ломтик,slice
удочка,rod
почка,kidney
вдохновение,inspiration
имбирь,ginger
пункт назначения,destination
бетон,concrete
поток,stream
сток,drain
спрей,spray
орган,organ
большой палец,thumb
осел,donkey
формула,formula
проститутка,hooker
бюстгальтер,bra
холостяк,bachelor
самолет,airplane
отсутствие,absence
дневной свет,daylight
запястье,wrist
клерк,clerk
акт,deed
штепсель,plug
привилегия,privilege
бонус,bonus
честность,honesty
подвал,cellar
карета,carriage
вестибюль,lobby
запах,scent
бургер,burger
протокол,protocol
автор,author
крот,mole
позор,disgrace
иллюзия,illusion
приговор,verdict
доход,income
цивилизация,civilization
задира,bully
элемент,element
пассажир,passenger
шарик,balloon
палец ноги,toe
смертный,mortal
лотерея,lottery
особняк,mansion
занавеска,curtain
щека,cheek
гавань,harbor
наводнение,flood
коктейль,cocktail
ответ,reply
зомби,zombie
ассоциат,associate
пузырь,bubble
семя,seed
